source,target,value
M_White,W_White,906
W_White,M_White,741
M_Asian,M_White,159
M_White,M_Asian,126
M_White,W_Asian,122
W_Asian,M_White,117
W_Asian,W_White,90
W_White,W_Asian,78
W_Asian,M_Asian,75
M_Asian,W_Asian,67
M_Asian,W_White,66
W_White,M_Asian,55
M_HLS,M_White,41
M_White,W_HLS,38
M_White,M_HLS,28
W_White,M_HLS,24
W_White,W_HLS,24
W_HLS,W_White,21
M_HLS,W_White,21
W_White,W_Black,21
W_HLS,M_White,19
M_White,M_Black,17
M_White,W_Black,16
M_White,M_MENA,15
M_White,W_MENA,13
W_White,M_Black,12
W_MENA,W_White,11
M_MENA,W_White,11
M_Black,M_White,10
W_HLS,M_HLS,10
M_Asian,M_HLS,9
M_Black,W_White,9
M_MENA,M_White,9
W_MENA,M_White,8
W_HLS,W_Asian,7
W_Black,W_White,6
M_HLS,M_Asian,6
M_HLS,W_HLS,6
M_Asian,W_HLS,6
W_Asian,M_HLS,5
W_Asian,W_HLS,5
M_White,W_Indigenous,5
M_HLS,W_Asian,5
W_HLS,M_Asian,5
W_White,W_Indigenous,5
W_Asian,M_Black,4
W_White,M_MENA,4
W_Asian,M_MENA,4
W_Black,M_White,4
W_MENA,W_Asian,4
W_White,W_MENA,3
M_Asian,W_MENA,3
W_Asian,W_Black,3
M_Black,W_Asian,3
M_MENA,W_MENA,3
M_Asian,W_Black,2
W_Indigenous,M_White,2
M_Indigenous,W_White,2
W_Black,W_HLS,2
M_White,M_Indigenous,2
W_MENA,M_MENA,2
M_Asian,M_MENA,2
W_Black,M_HLS,1
M_Indigenous,M_White,1
N_White,W_White,1
W_Indigenous,W_Black,1
M_HLS,W_Black,1
N_White,M_HLS,1
W_Indigenous,M_Asian,1
W_Indigenous,W_White,1
W_Indigenous,W_Asian,1
M_Black,W_Black,1
W_HLS,W_Black,1
W_Black,M_Asian,1
W_Black,M_Black,1
M_White,N_HLS,1
W_Black,M_MENA,1
M_MENA,M_Asian,1
W_Asian,W_MENA,1
W_MENA,M_Asian,1
M_MENA,W_Asian,1
N_Asian,W_Black,1
N_Asian,W_HLS,1
M_Asian,M_Black,1
