,jaemin,jeff,haley,Same
0,F,F,F,True
1,F,F,F,True
2,F,F,F,True
3,F,F,F,True
4,F,F,F,True
5,99,99,M,False
6,F,F,F,True
7,M,M,M,True
8,M,M,M,True
9,M,M,M,True
10,M,M,M,True
11,M,M,M,True
12,M,M,M,True
13,99,99,99,True
14,M,M,M,True
15,F,F,F,True
16,M,M,M,True
17,M,M,M,True
18,M,M,M,True
19,M,M,M,True
20,M,M,M,True
21,M,M,M,True
22,F,F,F,True
23,M,M,M,True
24,M,M,M,True
25,F,F,F,True
26,M,M,M,True
27,M,M,M,True
28,99,99,99,True
29,F,F,F,True
30,F,F,F,True
31,99,99,M,False
32,99,99,99,True
33,M,M,M,True
34,M,M,M,True
35,M,M,M,True
36,F,F,F,True
37,F,F,99,False
38,M,M,M,True
39,M,M,99,False
40,F,F,F,True
41,M,M,M,True
42,M,F,M,False
43,F,F,F,True
44,F,F,F,True
45,M,M,M,True
46,M,M,M,True
47,99,M,M,False
48,99,99,F,False
49,M,M,M,True
50,F,F,F,True
51,F,F,F,True
52,F,F,F,True
53,M,M,M,True
54,M,M,M,True
55,M,F,F,False
56,M,M,M,True
57,M,M,M,True
58,M,99,M,False
59,M,M,M,True
60,F,F,F,True
61,F,F,F,True
62,M,M,M,True
63,F,F,F,True
64,M,M,M,True
65,M,M,M,True
66,99,M,M,False
67,F,F,F,True
68,M,M,M,True
69,F,F,F,True
70,F,F,F,True
71,F,F,F,True
72,M,M,M,True
73,M,M,M,True
74,99,99,99,True
75,M,M,M,True
76,M,M,M,True
77,F,F,F,True
78,M,M,99,False
79,M,M,M,True
80,99,M,M,False
81,M,M,M,True
82,M,99,M,False
83,M,M,M,True
84,M,M,M,True
85,M,M,M,True
86,M,M,M,True
87,F,F,F,True
88,99,99,M,False
89,F,F,F,True
90,M,M,M,True
91,M,M,M,True
92,M,M,M,True
93,M,M,M,True
94,F,F,F,True
95,F,M,99,False
96,F,M,F,False
97,F,F,F,True
98,99,99,99,True
99,F,F,F,True
100,99,99,99,True
101,F,F,F,True
102,F,F,F,True
103,F,F,F,True
104,99,M,M,False
105,M,F,F,False
106,M,M,M,True
107,F,F,F,True
108,M,M,M,True
109,M,M,M,True
110,F,F,F,True
111,M,M,M,True
112,M,M,M,True
113,F,F,F,True
114,M,M,M,True
115,F,M,M,False
116,M,M,M,True
117,99,M,M,False
118,F,F,F,True
119,F,F,F,True
120,F,F,F,True
121,99,M,M,False
122,M,M,M,True
123,F,M,M,False
124,M,M,M,True
125,F,F,F,True
126,99,M,M,False
127,M,M,M,True
128,F,F,F,True
129,F,F,F,True
130,M,99,M,False
131,F,F,F,True
132,M,M,M,True
133,F,F,99,False
134,99,F,U -F,False
135,M,M,M,True
136,M,M,M,True
137,99,F,99,False
138,M,M,M,True
139,M,M,M,True
140,M,M,F,False
141,M,M,M,True
142,F,F,F,True
143,M,F,99,False
144,F,F,F,True
145,F,F,F,True
146,M,M,M,True
147,F,F,F,True
148,F,F,F,True
149,F,F,F,True
150,99,M,M,False
151,M,M,99,False
152,M,M,M,True
153,M,M,M,True
154,99,M,M,False
155,99,F,99,False
156,99,M,99,False
157,99,M,M,False
158,F,F,F,True
159,F,F,F,True
160,F,F,F,True
161,M,M,M,True
162,F,F,F,True
163,M,M,M,True
164,99,M,M,False
165,M,M,M,True
166,99,M,M,False
167,M,M,M,True
168,M,M,M,True
169,M,99,M,False
170,M,M,M,True
171,99,M,M,False
172,M,M,M,True
173,M,M,M,True
174,M,M,M,True
175,M,M,M,True
176,M,M,M,True
177,F,F,F,True
178,99,M,F,False
179,F,F,F,True
180,M,M,M,True
181,M,M,M,True
182,M,M,M,True
183,M,M,M,True
184,M,M,M,True
185,F,F,F,True
186,M,M,M,True
187,F,F,99,False
188,M,M,M,True
189,M,M,M,True
190,M,M,M,True
191,M,M,M,True
192,M,M,M,True
193,M,M,M,True
194,M,M,M,True
195,F,F,F,True
196,F,F,F,True
197,99,M,M,False
198,M,M,M,True
199,M,M,M,True
