,hongtao,kristen,jeff,Same
0,R,R,R,True
1,R,R,R,True
2,R,R,R,True
3,M,M,M,True
4,R,R,R,True
5,R,R,R,True
6,R,R,R,True
7,R,R,R,True
8,M,M,M,True
9,R,R,R,True
10,R,R,R,True
11,R,R,R,True
12,R,R,R,True
13,R,R,R,True
14,R,R,R,True
15,R,R,R,True
16,R,R,R,True
17,R,R,R,True
18,R,R,R,True
19,R,R,R,True
20,R,R,R,True
21,R,R,R,True
22,R,R,R,True
23,R,R,R,True
24,R,R,R,True
25,R,R,R,True
26,R,R,R,True
27,R,R,R,True
28,M,M,M,True
29,R,R,R,True
30,R,R,R,True
31,R,R,R,True
32,R,R,R,True
33,R,R,R,True
34,M,M,R,False
35,R,R,R,True
36,R,R,R,True
37,R,R,R,True
38,R,R,R,True
39,R,R,R,True
40,R,R,R,True
41,R,R,R,True
42,R,R,R,True
43,R,R,R,True
44,R,R,R,True
45,R,R,R,True
46,R,R,R,True
47,R,R,R,True
48,R,R,R,True
49,R,R,R,True
50,R,R,R,True
51,R,R,R,True
52,R,R,R,True
53,R,R,R,True
54,R,R,R,True
55,R,R,R,True
56,R,R,R,True
57,R,R,R,True
58,M,M,M,True
59,R,R,R,True
60,R,M,M,False
61,R,R,R,True
62,R,R,R,True
63,R,R,R,True
64,R,R,R,True
65,R,R,R,True
66,R,R,R,True
67,R,R,R,True
68,R,R,R,True
69,R,R,R,True
70,R,R,R,True
71,M,M,M,True
72,M,M,M,True
73,R,R,R,True
74,M,M,M,True
75,R,R,R,True
76,R,R,R,True
77,R,R,R,True
78,M,R,R,False
79,R,R,R,True
80,R,R,R,True
81,R,R,R,True
82,R,R,R,True
83,R,R,R,True
84,R,R,R,True
85,R,R,R,True
86,M,M,M,True
87,M,M,M,True
88,R,R,R,True
89,R,R,R,True
90,R,R,R,True
91,R,R,M,False
92,R,R,R,True
93,M,M,R,False
94,M,M,M,True
95,M,M,M,True
96,M,M,M,True
97,R,R,R,True
98,R,M,M,False
99,R,R,R,True
